Site,Less than 1 year,1 year,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 years,23 years,26 years
1,577,366,111,130,133,55,35,16,27,22,18,22,14,16,13,13,5,2,1,0,2,0,0,0,0
3,1312,1272,713,615,597,219,93,85,72,75,48,48,45,52,30,27,20,8,4,1,0,0,0,0,0
5,2712,2648,1717,1428,1278,471,182,166,156,121,98,88,89,84,85,68,50,28,14,2,3,1,0,1,1
7,110,136,101,80,90,30,4,10,9,12,4,2,6,3,1,3,4,4,0,1,0,0,0,0,0
8,1497,1379,811,665,556,216,90,61,57,73,38,44,28,34,43,27,15,3,2,2,4,0,0,0,0
9,2913,2738,1516,1107,975,358,150,126,98,71,55,59,45,55,58,35,24,5,3,1,0,0,1,0,0
10,111,61,22,26,20,13,8,6,8,7,0,2,3,2,3,3,1,1,0,1,0,0,0,0,0
11,1957,1732,1008,877,778,272,115,118,86,75,70,45,41,57,43,28,30,12,7,3,0,0,0,0,0
17,1249,1137,613,544,450,189,75,53,44,27,33,19,28,28,22,24,16,7,3,1,0,2,0,0,0
24,2464,2076,1038,871,735,262,130,100,91,69,41,33,35,28,42,19,16,9,1,0,0,0,0,0,0
25,2638,2250,1479,1294,1134,467,179,160,150,123,90,90,82,92,79,52,47,18,7,1,1,0,0,0,0
26,2561,2163,1217,962,866,392,171,143,141,111,83,89,79,80,82,53,37,17,7,2,0,0,1,0,0
30,1147,962,487,436,341,170,73,63,49,49,46,35,46,33,32,16,14,5,3,2,0,1,0,0,0
32,1463,1282,809,680,616,242,85,55,58,44,39,35,27,20,30,21,24,10,4,1,0,0,0,0,0
34,62,16,8,14,8,4,5,2,3,4,0,2,2,1,0,2,1,1,0,0,0,0,0,0,0
37,1527,1458,745,693,603,229,122,91,47,52,33,37,24,21,25,18,10,2,0,0,0,0,0,0,0
42,5,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
