Site,Less than 1 year,1 year,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years
1,374,301,73,75,113,318,130,73,41,36,18,12,7,3,4
3,710,830,488,463,470,1272,534,177,125,100,60,55,25,20,7
5,1290,1724,1114,945,1073,2772,1009,598,289,303,145,96,62,51,20
7,40,90,47,53,58,232,38,12,15,11,3,5,3,3,0
8,755,1006,609,528,521,1126,469,192,139,93,61,70,34,28,14
9,1651,2145,1211,922,959,1920,655,316,204,162,93,94,17,32,12
10,80,50,18,10,10,51,19,21,16,11,7,1,1,1,2
11,1040,1256,705,705,689,1578,528,301,163,125,86,82,34,41,21
17,804,811,448,411,393,932,281,156,96,76,51,39,42,16,8
24,1565,1652,900,725,718,1506,420,175,123,93,51,61,28,36,7
25,1316,1461,881,898,850,2682,1059,400,330,193,142,98,65,38,20
26,1397,1636,766,708,669,2135,690,506,241,189,103,103,48,51,15
30,544,751,382,339,311,788,288,175,126,69,84,91,32,21,9
32,871,869,562,518,523,1272,365,188,103,84,74,53,30,29,4
34,52,18,4,14,4,14,10,11,1,0,3,1,3,0,0
37,903,1148,537,525,588,1219,359,179,97,67,51,26,17,13,8
42,4,3,0,4,0,2,0,1,1,0,1,0,0,0,0
