Date,Site,Clinic,Manager,Is the current WIC logo on or above entrance?,Are accurate hours of operation displayed on door in a permanent format?,"Is staff properly welcoming, Hi, Welcome to WIC?",Is staff at entrance to greet and provide information promptly?,Is staff communicating options to walk-ins?,Is water visible and available to clients?,"Is the WIC material QR code visible, colorful & intentional?",Is the WIC material QR code linked to the WIC shopping guide?,Is the WIC material QR code linked to social media?,Is the WIC material QR code linked to the WIC cookbook?,Is the WIC material QR code linked to state website?,Does the entire scope of practice take place in a private room?,Do all rooms display the Jordan Michael Design?,Do all private rooms display room status indicators?,Is there a television present?,Is the television utilized appropriately?,"Is the environment peaceful and neutral? (smells, sounds, etc.)",Is there developmentally appropriate entertainment for children in every room?,Is a clinic manager or supervisor present?,Padded or gel chairs available,Rolling cart per room,Client does not move,Room per Certifier,# of Families Waiting,Minimum of 2 client padded chairs,Maximum of 8 sq ft desk,Maximum of 12 sq ft lab equipment,Small filing cabinet,3 or more wall hangings,Sharp corners covered,Electrical outlets covered,Hazard box up and out of the way,No flammable clutter,No confidential convo with door open,Alternative lighting,Interactive rugs,Kitchen sets,1 or more child chairs,Child books visible,Standard filing system for forms,Gloves mounted to wall
2022-11-28,1,MLK Center,Heather,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-05,1,MLK Center,Heather,0,0,0.5945945945945946,0.5945945945945946,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-13,1,MLK Center,Heather,0,0.4646464646464646,0.7676767676767676,0.7676767676767676,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,1,MLK Center,Heather,0,0.6473414974422571,0.842660052705007,0.842660052705007,1,1,1,1,1,0.37761587350798326,1,1,1,0.37761587350798326,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-03,1,MLK Center,Heather,0,0.7511351728955641,0.8847362906042613,0.8847362906042613,1,0.6081033880544883,1,1,1,0.5878449179182675,1,1,1,0.19594830597275584,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-19,1,MLK Center,Heather,0,0.8157755370643663,0.9129648206603306,0.9129648206603306,1,0.8118917091691015,1,1,1,0.7036340559921,1,1,1,0.5155257651612015,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-25,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-01,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0.8421675244894571,0.7063340527976092,1,1,1.7265689855553712,0,1,1,0.5,1,0,1,0,1,1,0,0.5,1,0,0.5,0,0
2023-05-30,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0,0,1,1,1.5384615384615383,0,1,1,0.5,1,0,1,0,1,1,0,0.5,1,0,0.5,0,0
