"Site","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","25 years"
"1",646,326,107,125,133,40,32,18,23,23,18,27,10,15,15,10,7,0,1,0,2,0,0,0,0
"3",1550,1181,673,610,561,166,96,82,67,72,51,45,48,49,31,27,16,7,3,1,0,0,0,0,0
"5",3285,2383,1640,1422,1219,331,181,169,149,120,94,86,88,76,89,63,57,21,12,0,4,0,0,1,1
"7",142,122,93,89,78,24,6,9,9,10,4,3,5,4,0,4,3,4,0,1,0,0,0,0,0
"8",1781,1246,777,637,550,149,84,57,60,74,35,43,29,32,40,27,13,3,2,3,3,0,0,0,0
"9",3464,2474,1421,1064,950,255,147,120,94,70,54,61,44,55,55,35,23,4,2,0,0,0,1,0,0
"10",125,53,19,25,20,13,6,6,9,6,0,3,3,2,2,3,1,1,0,1,0,0,0,0,0
"11",2274,1608,975,859,728,203,111,112,79,86,56,49,44,53,39,30,28,11,6,3,0,0,0,0,0
"17",1475,1013,604,521,436,149,64,60,36,25,31,23,27,28,24,22,15,6,2,1,1,1,0,0,0
"24",2918,1801,973,877,697,200,125,102,81,76,31,36,32,29,42,16,16,7,1,0,0,0,0,0,0
"25",3112,2058,1376,1318,1092,326,188,147,150,117,90,89,85,85,82,50,46,16,5,0,1,0,0,0,0
"26",3047,1895,1173,932,853,293,164,144,129,112,86,82,79,83,79,43,38,16,7,1,0,0,1,0,0
"30",1365,847,459,420,340,121,74,60,48,47,44,42,39,35,31,16,11,5,4,1,0,1,0,0,0
"32",1707,1163,780,663,617,174,83,54,58,43,38,33,23,22,28,24,22,10,2,1,0,0,0,0,0
"34",67,11,11,12,7,6,3,2,3,4,0,2,2,1,1,1,1,1,0,0,0,0,0,0,0
"37",1826,1292,713,721,541,183,114,84,48,52,30,38,20,22,26,17,8,2,0,0,0,0,0,0,0
"42",6,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
