"Site","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years"
"1",426,271,65,71,121,324,141,47,39,33,15,11,7,4,3
"3",852,782,473,435,484,1313,484,146,127,81,55,53,26,20,5
"5",1607,1602,1100,898,1039,2961,906,448,300,281,144,82,61,44,18
"7",55,86,45,51,55,243,27,11,13,10,4,4,4,2,0
"8",934,934,593,512,513,1171,379,192,132,86,64,71,29,25,10
"9",2021,2000,1132,919,938,1978,531,302,196,131,109,77,22,26,11
"10",90,47,12,9,11,56,16,22,12,12,6,2,0,1,2
"11",1240,1197,679,694,684,1617,465,251,169,111,80,72,43,36,16
"17",975,723,418,412,401,967,235,116,91,83,45,36,41,16,5
"24",1879,1533,809,720,701,1556,316,160,130,81,49,56,33,34,3
"25",1586,1370,803,913,865,2828,888,348,305,188,134,89,63,35,18
"26",1686,1475,759,673,665,2255,648,393,212,180,101,101,62,35,12
"30",693,688,351,336,289,833,239,167,116,79,77,84,32,18,8
"32",1033,815,516,510,539,1313,294,167,92,92,67,49,27,29,2
"34",60,10,6,12,4,16,10,9,1,0,4,3,0,0,0
"37",1084,1064,499,586,521,1241,353,124,92,68,43,25,16,14,7
"42",4,3,0,4,0,2,0,2,0,0,1,0,0,0,0
