"Site","Amharic","Arabic","ASL","Bengali","Burmese","Cambodian","Cantonese","Chin","Dari","English","Farsi","French","German","Hindi","Italian","Karen","Karenni","Kinyarwanda","Korean","Laotian","Maay","Nepali","Oromo","Other","Pashto","Portuguese","Rohingya","Russian","Somali","Spanish","Swahili","Tagalog","Tamil","Tigrinya","Turkish","Urdu","Vietnamese","<NA>"
"1",0,0,0,0,0,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0
"3",0,2,0,0,0,0,0,0,0,3640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,0,0,0,0,0,0,0,0
"5",0,0,2,0,0,0,0,0,2,7394,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,4081,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,546,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
"8",0,11,0,0,0,0,0,0,6,4083,0,6,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1529,0,0,0,0,0,0,1,0
"9",2,15,4,0,0,0,0,0,8,5391,6,353,0,46,0,0,0,0,0,0,0,9,3,6,8,10,0,0,0,4513,0,11,3,0,0,2,3,0
"10",0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
"11",4,2,0,0,4,0,0,0,3,4891,4,0,0,0,0,3,0,0,3,0,0,0,0,9,5,0,4,0,0,2417,1,0,0,2,0,0,2,0
"17",0,0,0,0,0,0,0,0,0,1815,1,1,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,2741,0,0,0,0,0,0,0,0
"24",7,26,0,1,0,0,0,0,39,4538,17,11,0,0,0,0,0,0,0,0,0,0,0,34,50,0,0,0,0,3325,0,0,0,1,2,0,9,0
"25",0,6,8,2,0,0,0,0,3,8028,0,1,0,0,0,0,0,2,0,0,0,0,0,3,9,0,0,0,0,2367,0,2,0,2,0,0,0,0
"26",0,5,9,0,2,1,0,0,0,6387,0,0,0,0,0,0,2,5,0,0,0,0,0,15,2,0,0,0,0,2824,5,0,0,0,0,0,0,0
"30",0,0,5,0,0,0,0,0,0,3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,4
"32",13,19,3,0,27,2,1,14,24,3400,2,0,0,0,1,0,0,0,0,0,0,0,0,31,29,3,0,0,0,1778,11,0,0,16,0,0,170,1
"34",0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0
"37",22,11,1,0,44,0,0,3,75,4121,6,9,0,0,0,3,3,10,0,0,2,13,0,33,92,3,79,1,12,1110,52,0,0,29,0,0,3,0
"42",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
