"Date","Site","Clinic","Manager","Is the current WIC logo on or above entrance?","Are accurate hours of operation displayed on door in a permanent format?","Is staff properly welcoming, Hi, Welcome to WIC?","Is staff at entrance to greet and provide information promptly?","Is staff communicating options to walk-ins?","Is water visible and available to clients?","Is the WIC material QR code visible, colorful & intentional?","Is the WIC material QR code linked to the WIC shopping guide?","Is the WIC material QR code linked to social media?","Is the WIC material QR code linked to the WIC cookbook?","Is the WIC material QR code linked to state website?","Does the entire scope of practice take place in a private room?","Do all rooms display the Jordan Michael Design?","Do all private rooms display room status indicators?","Is there a television present?","Is the television utilized appropriately?","Is the environment peaceful and neutral? (smells, sounds, etc.)","Is there developmentally appropriate entertainment for children in every room?","Is a clinic manager or supervisor present?","Padded or gel chairs available","Rolling cart per room","Client does not move","Room per Certifier","# of Families Waiting","Minimum of 2 client padded chairs","Maximum of 8 sq ft desk","Maximum of 12 sq ft lab equipment","Small filing cabinet","3 or more wall hangings","Sharp corners covered","Electrical outlets covered","Hazard box up and out of the way","No flammable clutter","No confidential convo with door open","Alternative lighting","Interactive rugs","Kitchen sets","1 or more child chairs","Child books visible","Standard filing system for forms","Gloves mounted to wall"
2022-11-28,"1","MLK Center","Heather",0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-05,"1","MLK Center","Heather",0,0,0.594594594594595,0.594594594594595,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-13,"1","MLK Center","Heather",0,0.464646464646465,0.767676767676768,0.767676767676768,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,"1","MLK Center","Heather",0,0.647341497442257,0.842660052705007,0.842660052705007,1,1,1,1,1,0.377615873507983,1,1,1,0.377615873507983,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-03,"1","MLK Center","Heather",0,0.751135172895564,0.884736290604261,0.884736290604261,1,0.608103388054488,1,1,1,0.587844917918268,1,1,1,0.195948305972756,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-19,"1","MLK Center","Heather",0,0.815775537064366,0.912964820660331,0.912964820660331,1,0.811891709169101,1,1,1,0.7036340559921,1,1,1,0.515525765161202,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06,"1","MLK Center","Heather",0,0.856957723212148,0.931550321537102,0.931550321537102,1,0.881260761850074,1,1,1,0.7738402565072,1,1,1,0.655101018357275,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-25,"1","MLK Center","Heather",0,0.856957723212148,0.931550321537102,0.931550321537102,1,0.881260761850074,1,1,1,0.7738402565072,1,1,1,0.655101018357275,1,1,1,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-01,"1","MLK Center","Heather",0,0.856957723212148,0.931550321537102,0.931550321537102,1,0.881260761850074,1,1,1,0.7738402565072,1,1,1,0.655101018357275,1,1,1,1,1,0.697986577181208,0,1,1,1.071907957814,0,1,1,0.5,1,0,1,0,1,1,0,0.5,1,0,0.5,0,0
2023-05-30,"1","MLK Center","Heather",0,0.856957723212148,0.931550321537102,0.931550321537102,1,0.881260761850074,1,1,1,0.7738402565072,1,1,1,0.655101018357275,1,1,1,1,1,0,0,1,1,1.53846153846154,0,1,1,0.5,1,0,1,0,1,1,0,0.5,1,0,0.5,0,0
