"...1","Site","Clinic","Participation"
2017-10-01,"1","MLK Center",2224
2017-10-01,"3","Westmoreland",4578
2017-10-01,"5","Lake June",8103
2017-10-01,"7","Carrollton",2890
2017-10-01,"8","Grand Prairie",4602
2017-10-01,"9","Irving",7618
2017-10-01,"10","Highland Hills",3064
2017-10-01,"11","East Garland",4614
2017-10-01,"17","Northwest Highway",3764
2017-10-01,"24","North Dallas",6057
2017-10-01,"25","Ledbetter",7887
2017-10-01,"26","John West/Buckner",6616
2017-10-01,"30","Duncanville",3466
2017-10-01,"32","West Garland",5409
2017-10-01,"34","Stemmons Clinic",57
2017-10-01,"37","Abrams Road",4371
2017-10-01,"39","Mesquite",3921
2017-11-01,"1","MLK Center",2127
2017-11-01,"3","Westmoreland",4462
2017-11-01,"5","Lake June",7959
2017-11-01,"7","Carrollton",2887
2017-11-01,"8","Grand Prairie",4526
2017-11-01,"9","Irving",7557
2017-11-01,"10","Highland Hills",3006
2017-11-01,"11","East Garland",4566
2017-11-01,"17","Northwest Highway",3719
2017-11-01,"24","North Dallas",6004
2017-11-01,"25","Ledbetter",7713
2017-11-01,"26","John West/Buckner",6482
2017-11-01,"30","Duncanville",3420
2017-11-01,"32","West Garland",5323
2017-11-01,"34","Stemmons Clinic",18
2017-11-01,"37","Abrams Road",4360
2017-11-01,"39","Mesquite",3910
2017-12-01,"1","MLK Center",2079
2017-12-01,"3","Westmoreland",4385
2017-12-01,"5","Lake June",7813
2017-12-01,"7","Carrollton",2837
2017-12-01,"8","Grand Prairie",4321
2017-12-01,"9","Irving",7474
2017-12-01,"10","Highland Hills",2902
2017-12-01,"11","East Garland",4488
2017-12-01,"17","Northwest Highway",3637
2017-12-01,"24","North Dallas",5867
2017-12-01,"25","Ledbetter",7517
2017-12-01,"26","John West/Buckner",6339
2017-12-01,"30","Duncanville",3384
2017-12-01,"32","West Garland",5225
2017-12-01,"34","Stemmons Clinic",1
2017-12-01,"37","Abrams Road",4274
2017-12-01,"39","Mesquite",3862
2018-01-01,"1","MLK Center",2095
2018-01-01,"3","Westmoreland",4362
2018-01-01,"5","Lake June",7752
2018-01-01,"7","Carrollton",2833
2018-01-01,"8","Grand Prairie",4358
2018-01-01,"9","Irving",7496
2018-01-01,"10","Highland Hills",2916
2018-01-01,"11","East Garland",4518
2018-01-01,"17","Northwest Highway",3574
2018-01-01,"24","North Dallas",5880
2018-01-01,"25","Ledbetter",7642
2018-01-01,"26","John West/Buckner",6259
2018-01-01,"30","Duncanville",3374
2018-01-01,"32","West Garland",5157
2018-01-01,"34","Stemmons Clinic",0
2018-01-01,"37","Abrams Road",4266
2018-01-01,"39","Mesquite",3920
2018-02-01,"1","MLK Center",2068
2018-02-01,"3","Westmoreland",4320
2018-02-01,"5","Lake June",7586
2018-02-01,"7","Carrollton",2793
2018-02-01,"8","Grand Prairie",4352
2018-02-01,"9","Irving",7423
2018-02-01,"10","Highland Hills",2889
2018-02-01,"11","East Garland",4434
2018-02-01,"17","Northwest Highway",3556
2018-02-01,"24","North Dallas",5797
2018-02-01,"25","Ledbetter",7638
2018-02-01,"26","John West/Buckner",6191
2018-02-01,"30","Duncanville",3316
2018-02-01,"32","West Garland",5165
2018-02-01,"34","Stemmons Clinic",0
2018-02-01,"37","Abrams Road",4186
2018-02-01,"39","Mesquite",3858
2018-03-01,"1","MLK Center",2031
2018-03-01,"3","Westmoreland",4323
2018-03-01,"5","Lake June",7468
2018-03-01,"7","Carrollton",2788
2018-03-01,"8","Grand Prairie",4347
2018-03-01,"9","Irving",7344
2018-03-01,"10","Highland Hills",2889
2018-03-01,"11","East Garland",4432
2018-03-01,"17","Northwest Highway",3566
2018-03-01,"24","North Dallas",5773
2018-03-01,"25","Ledbetter",7663
2018-03-01,"26","John West/Buckner",6049
2018-03-01,"30","Duncanville",3294
2018-03-01,"32","West Garland",5091
2018-03-01,"34","Stemmons Clinic",0
2018-03-01,"37","Abrams Road",4186
2018-03-01,"39","Mesquite",3860
2018-04-01,"1","MLK Center",2014
2018-04-01,"3","Westmoreland",4342
2018-04-01,"5","Lake June",7513
2018-04-01,"7","Carrollton",2794
2018-04-01,"8","Grand Prairie",4377
2018-04-01,"9","Irving",7323
2018-04-01,"10","Highland Hills",2876
2018-04-01,"11","East Garland",4405
2018-04-01,"17","Northwest Highway",3547
2018-04-01,"24","North Dallas",5686
2018-04-01,"25","Ledbetter",7685
2018-04-01,"26","John West/Buckner",6033
2018-04-01,"30","Duncanville",3337
2018-04-01,"32","West Garland",5038
2018-04-01,"34","Stemmons Clinic",0
2018-04-01,"37","Abrams Road",4136
2018-04-01,"39","Mesquite",3859
2018-05-01,"1","MLK Center",2033
2018-05-01,"3","Westmoreland",4287
2018-05-01,"5","Lake June",7581
2018-05-01,"7","Carrollton",2831
2018-05-01,"8","Grand Prairie",4394
2018-05-01,"9","Irving",7385
2018-05-01,"10","Highland Hills",2860
2018-05-01,"11","East Garland",4421
2018-05-01,"17","Northwest Highway",3539
2018-05-01,"24","North Dallas",5665
2018-05-01,"25","Ledbetter",7825
2018-05-01,"26","John West/Buckner",6005
2018-05-01,"30","Duncanville",3328
2018-05-01,"32","West Garland",5003
2018-05-01,"34","Stemmons Clinic",0
2018-05-01,"37","Abrams Road",4148
2018-05-01,"39","Mesquite",3871
2018-06-01,"1","MLK Center",2058
2018-06-01,"3","Westmoreland",4277
2018-06-01,"5","Lake June",7517
2018-06-01,"7","Carrollton",2818
2018-06-01,"8","Grand Prairie",4474
2018-06-01,"9","Irving",7391
2018-06-01,"10","Highland Hills",2917
2018-06-01,"11","East Garland",4431
2018-06-01,"17","Northwest Highway",3566
2018-06-01,"24","North Dallas",5557
2018-06-01,"25","Ledbetter",7870
2018-06-01,"26","John West/Buckner",5952
2018-06-01,"30","Duncanville",3274
2018-06-01,"32","West Garland",4923
2018-06-01,"34","Stemmons Clinic",0
2018-06-01,"37","Abrams Road",4137
2018-06-01,"39","Mesquite",3902
2018-07-01,"1","MLK Center",1974
2018-07-01,"3","Westmoreland",4249
2018-07-01,"5","Lake June",7463
2018-07-01,"7","Carrollton",2762
2018-07-01,"8","Grand Prairie",4335
2018-07-01,"9","Irving",7248
2018-07-01,"10","Highland Hills",2905
2018-07-01,"11","East Garland",4251
2018-07-01,"17","Northwest Highway",3444
2018-07-01,"24","North Dallas",5340
2018-07-01,"25","Ledbetter",7567
2018-07-01,"26","John West/Buckner",5820
2018-07-01,"30","Duncanville",3207
2018-07-01,"32","West Garland",4877
2018-07-01,"34","Stemmons Clinic",0
2018-07-01,"37","Abrams Road",3968
2018-07-01,"39","Mesquite",3749
2018-08-01,"1","MLK Center",1844
2018-08-01,"3","Westmoreland",4019
2018-08-01,"5","Lake June",7167
2018-08-01,"7","Carrollton",2701
2018-08-01,"8","Grand Prairie",4255
2018-08-01,"9","Irving",6847
2018-08-01,"10","Highland Hills",2797
2018-08-01,"11","East Garland",4200
2018-08-01,"17","Northwest Highway",3375
2018-08-01,"24","North Dallas",5294
2018-08-01,"25","Ledbetter",7701
2018-08-01,"26","John West/Buckner",5506
2018-08-01,"30","Duncanville",3071
2018-08-01,"32","West Garland",4661
2018-08-01,"34","Stemmons Clinic",5
2018-08-01,"37","Abrams Road",3951
2018-08-01,"39","Mesquite",3671
2018-09-01,"1","MLK Center",1820
2018-09-01,"3","Westmoreland",3899
2018-09-01,"5","Lake June",6882
2018-09-01,"7","Carrollton",2645
2018-09-01,"8","Grand Prairie",4095
2018-09-01,"9","Irving",6583
2018-09-01,"10","Highland Hills",2712
2018-09-01,"11","East Garland",4172
2018-09-01,"17","Northwest Highway",3244
2018-09-01,"24","North Dallas",5154
2018-09-01,"25","Ledbetter",7593
2018-09-01,"26","John West/Buckner",5396
2018-09-01,"30","Duncanville",2986
2018-09-01,"32","West Garland",4456
2018-09-01,"34","Stemmons Clinic",2
2018-09-01,"37","Abrams Road",3888
2018-09-01,"39","Mesquite",3643
2018-10-01,"1","MLK Center",1802
2018-10-01,"3","Westmoreland",3655
2018-10-01,"5","Lake June",6607
2018-10-01,"7","Carrollton",2517
2018-10-01,"8","Grand Prairie",4068
2018-10-01,"9","Irving",6331
2018-10-01,"10","Highland Hills",2705
2018-10-01,"11","East Garland",4071
2018-10-01,"17","Northwest Highway",3121
2018-10-01,"24","North Dallas",5002
2018-10-01,"25","Ledbetter",7514
2018-10-01,"26","John West/Buckner",5099
2018-10-01,"30","Duncanville",2879
2018-10-01,"32","West Garland",4346
2018-10-01,"34","Stemmons Clinic",7
2018-10-01,"37","Abrams Road",3833
2018-10-01,"39","Mesquite",3551
2018-11-01,"1","MLK Center",1723
2018-11-01,"3","Westmoreland",3508
2018-11-01,"5","Lake June",6389
2018-11-01,"7","Carrollton",2401
2018-11-01,"8","Grand Prairie",3926
2018-11-01,"9","Irving",5985
2018-11-01,"10","Highland Hills",2624
2018-11-01,"11","East Garland",3909
2018-11-01,"17","Northwest Highway",2985
2018-11-01,"24","North Dallas",4723
2018-11-01,"25","Ledbetter",7231
2018-11-01,"26","John West/Buckner",4951
2018-11-01,"30","Duncanville",2753
2018-11-01,"32","West Garland",4151
2018-11-01,"34","Stemmons Clinic",8
2018-11-01,"37","Abrams Road",3648
2018-11-01,"39","Mesquite",3397
2018-12-01,"1","MLK Center",1676
2018-12-01,"3","Westmoreland",3541
2018-12-01,"5","Lake June",6356
2018-12-01,"7","Carrollton",2372
2018-12-01,"8","Grand Prairie",3916
2018-12-01,"9","Irving",6047
2018-12-01,"10","Highland Hills",2634
2018-12-01,"11","East Garland",3932
2018-12-01,"17","Northwest Highway",2965
2018-12-01,"24","North Dallas",4734
2018-12-01,"25","Ledbetter",7169
2018-12-01,"26","John West/Buckner",4942
2018-12-01,"30","Duncanville",2751
2018-12-01,"32","West Garland",4164
2018-12-01,"34","Stemmons Clinic",7
2018-12-01,"37","Abrams Road",3633
2018-12-01,"39","Mesquite",3450
2019-01-01,"1","MLK Center",1598
2019-01-01,"3","Westmoreland",3580
2019-01-01,"5","Lake June",6419
2019-01-01,"7","Carrollton",2367
2019-01-01,"8","Grand Prairie",3875
2019-01-01,"9","Irving",5995
2019-01-01,"10","Highland Hills",2621
2019-01-01,"11","East Garland",3920
2019-01-01,"17","Northwest Highway",2907
2019-01-01,"24","North Dallas",4753
2019-01-01,"25","Ledbetter",7029
2019-01-01,"26","John West/Buckner",4889
2019-01-01,"30","Duncanville",2750
2019-01-01,"32","West Garland",4157
2019-01-01,"34","Stemmons Clinic",0
2019-01-01,"37","Abrams Road",3594
2019-01-01,"39","Mesquite",3454
2019-02-01,"1","MLK Center",1572
2019-02-01,"3","Westmoreland",3507
2019-02-01,"5","Lake June",6249
2019-02-01,"7","Carrollton",2356
2019-02-01,"8","Grand Prairie",3857
2019-02-01,"9","Irving",6001
2019-02-01,"10","Highland Hills",2436
2019-02-01,"11","East Garland",3836
2019-02-01,"17","Northwest Highway",2860
2019-02-01,"24","North Dallas",4768
2019-02-01,"25","Ledbetter",6876
2019-02-01,"26","John West/Buckner",4741
2019-02-01,"30","Duncanville",2607
2019-02-01,"32","West Garland",4064
2019-02-01,"34","Stemmons Clinic",1
2019-02-01,"37","Abrams Road",3474
2019-02-01,"39","Mesquite",3400
